measure,location,sex,age,cause,metric,year,val,upper,lower
5,63,3,27,589,2,2019,0.10032160298565629,0.1084873598108997,0.09248525793255669
5,85,3,27,976,2,2019,0.05133495223111888,0.05606363442959788,0.04628796310194844
5,20,3,27,509,2,2019,0.030089711006895056,0.031625074680841456,0.028623129958240498
5,75,3,27,509,2,2019,0.03415063485135336,0.03602710473060706,0.032425753268671566
5,115,3,27,509,2,2019,0.019149012622004226,0.020185556883682346,0.018136354643909544
5,142,3,27,491,2,2019,0.09559253852012564,0.10102325094816554,0.09006542336507459
5,108,3,27,1029,2,2019,0.007294543462713437,0.008436526064352978,0.006302421973582868
5,130,3,27,509,2,2019,0.023941848358204083,0.026202696422268548,0.021912177516749544
5,139,3,27,491,2,2019,0.08213700105127034,0.08588097254757426,0.07834592373531159
5,139,3,27,589,2,2019,0.11294247521180503,0.1209759830814916,0.10501913221099624
5,214,3,27,589,2,2019,0.06786208889075379,0.07219091586907683,0.06312837740995757
5,320,3,27,976,2,2019,0.13343140419582614,0.145528666876353,0.12241048087093083
5,28,3,27,509,2,2019,0.015193355596709195,0.01618387819159147,0.014249184567832416
5,142,3,27,509,2,2019,0.02154998884996517,0.023448749541304246,0.019878266064633027
5,29,3,27,976,2,2019,0.11009941843529264,0.12034592154425285,0.10082318677621034
5,10,3,27,976,2,2019,0.0566691911684789,0.06257100430427108,0.051380709316611727
5,82,3,27,976,2,2019,0.04850071049476999,0.05401621979734478,0.042899798537525596
5,43,3,27,509,2,2019,0.017059564537532077,0.0183333576921221,0.01587429459088507
5,62,3,27,491,2,2019,0.08037741714312799,0.08452399061808781,0.07640624588722339
5,126,3,27,976,2,2019,0.0772669885108614,0.08494770142808554,0.06916854247722469
5,86,3,27,491,2,2019,0.08060012922148198,0.08367328912943443,0.07743099478024737
5,94,3,27,509,2,2019,0.028144043083934336,0.029695168560913383,0.026620352532756696
5,180,3,27,1029,2,2019,0.0035141660359088228,0.004154093814379582,0.0029643725101064075
5,380,3,27,1029,2,2019,0.011629915757228477,0.014335761392379066,0.009247822372752538
5,175,3,27,491,2,2019,0.06631774839633713,0.07206315519447659,0.061367730728831366
5,148,3,27,509,2,2019,0.019871209928572463,0.021139614995362377,0.018705688211215113
5,27,3,27,1029,2,2019,0.00619458513093317,0.008029458308243784,0.004801563214952098
5,119,3,27,491,2,2019,0.07732370344731938,0.08144839245313297,0.07320124038313383
5,204,3,27,491,2,2019,0.06256487357831415,0.06767405017797007,0.05839541275689781
5,86,3,27,509,2,2019,0.024580165199664238,0.026767349944080338,0.022507071671953382
5,218,3,27,491,2,2019,0.06678745619450376,0.07213018237221276,0.06239593804877939
5,396,3,27,1029,2,2019,0.028290907007760508,0.03661980309387155,0.02218535853051095
5,109,3,27,1029,2,2019,0.015186889975847159,0.01842201483367855,0.012154703356287884
5,175,3,27,589,2,2019,0.05570947998855961,0.05981948272819338,0.051382099584465636
5,127,3,27,491,2,2019,0.05183346421676405,0.05538843849276981,0.04860030190100823
5,11,3,27,491,2,2019,0.06327656255785642,0.06710324930301378,0.059637101582587955
5,380,3,27,976,2,2019,0.1409695467950837,0.15557767066406797,0.1292299452618183
5,119,3,27,589,2,2019,0.09510543550421884,0.10130508073702779,0.08905064513076696
5,160,3,27,509,2,2019,0.022220421965791923,0.0237793066641888,0.02072193674797713
5,150,3,27,1029,2,2019,0.008078637254480537,0.008946521359426992,0.007159246199788239
5,193,3,27,976,2,2019,0.059496615398396145,0.06560447591873658,0.05365990055022623
5,62,3,27,509,2,2019,0.019670725683441526,0.02119942987910771,0.018362728306899674
5,93,3,27,1029,2,2019,0.021362331746875643,0.024422461652483216,0.01845117751542303
5,63,3,27,976,2,2019,0.03370296711672841,0.037366405893231855,0.030215694382138714
5,349,3,27,509,2,2019,0.03604124393048828,0.037533815302791956,0.03451084415614341
5,218,3,27,589,2,2019,0.0675310431359548,0.07209611175998494,0.06310419657233947
5,142,3,27,976,2,2019,0.06618422973564014,0.07296636425034717,0.059489250961301504
5,349,3,27,491,2,2019,0.07683383288575737,0.08081667661329761,0.072910025574203
5,66,3,27,491,2,2019,0.05865552217994036,0.061489867454446026,0.055890603849159365
